QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,cvar_score,actual_only,actual_with_consensus,mean,median,std,p10,p80,p90,lineup_id,player_ids,total_salary,strategy,anchor_player,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Matthew Stafford,De'Von Achane,Christian McCaffrey,Courtland Sutton,Quentin Johnston,Alec Pierce,Hunter Henry,TreVeyon Henderson,Tennessee Titans,146.42,114.12,114.12,118.09,117.23,19.43,94.54,135.27,145.53,16,"123617-138820,123617-55050,123617-6654,123617-152647,123617-57403,123617-120639,123617-86312,123617-40845,123617-12534",59800,qb_anchor,Matthew Stafford,9,0,0,-3.97,-3.11,True,False,False
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Michael Pittman Jr.,Alec Pierce,Hunter Henry,TreVeyon Henderson,New York Giants,146.32,94.06,94.06,113.79,111.65,21.51,87.79,130.59,142.47,28,"123617-138820,123617-55050,123617-152647,123617-151966,123617-90573,123617-69213,123617-86312,123617-40845,123617-12543",60000,qb_anchor,Jaxson Dart,9,0,0,-19.73,-17.59,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Courtland Sutton,Quentin Johnston,Alec Pierce,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,146.06,131.34,131.34,115.88,112.82,19.84,91.69,132.14,141.63,36,"123617-138820,123617-55050,123617-152647,123617-102965,123617-57403,123617-120639,123617-86312,123617-86080,123617-12539",59600,qb_anchor,Bo Nix,9,0,0,15.46,18.52,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Quentin Johnston,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,146.0,113.94,113.94,116.3,115.18,20.46,91.05,134.81,142.86,37,"123617-138820,123617-55050,123617-102965,123617-90573,123617-86518,123617-110484,123617-120639,123617-86080,123617-12548",59900,qb_anchor,Bo Nix,9,0,0,-2.36,-1.24,True,False,False
Josh Allen,De'Von Achane,TreVeyon Henderson,Troy Franklin,Michael Pittman Jr.,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,145.56,108.52,108.52,115.75,114.12,19.88,92.89,130.37,142.07,43,"123617-62239,123617-138820,123617-152647,123617-110484,123617-151903,123617-69213,123617-86312,123617-86080,123617-12548",59900,qb_anchor,Josh Allen,9,0,0,-7.23,-5.6,True,False,False
Daniel Jones,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,145.45,115.34,115.34,115.17,113.77,20.29,92.39,133.19,143.91,21,"123617-138820,123617-55050,123617-63519,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",60000,qb_anchor,Daniel Jones,9,0,0,0.17,1.57,True,False,False
Jaxson Dart,De'Von Achane,TreVeyon Henderson,Davante Adams,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,145.3,124.16,124.16,112.58,109.95,21.71,86.92,127.48,138.74,29,"123617-138820,123617-45889,123617-152647,123617-151966,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",60000,qb_anchor,Jaxson Dart,9,0,0,11.58,14.21,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Courtland Sutton,Alec Pierce,Cooper Kupp,Kyle Pitts Sr.,TreVeyon Henderson,Los Angeles Chargers,145.27,122.44,122.44,115.81,114.89,19.81,92.22,132.74,141.12,38,"123617-138820,123617-55050,123617-152647,123617-102965,123617-57403,123617-86312,123617-79970,123617-86080,123617-12548",59800,qb_anchor,Bo Nix,9,0,0,6.63,7.55,True,False,False
Josh Allen,De'Von Achane,TreVeyon Henderson,Tetairoa McMillan,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Miami Dolphins,145.19,119.92,119.92,115.29,112.19,20.02,92.74,129.99,140.5,42,"123617-62239,123617-138820,123617-152647,123617-167620,123617-110484,123617-151903,123617-86312,123617-40845,123617-12539",60000,qb_anchor,Josh Allen,9,0,0,4.63,7.73,True,False,False
Josh Allen,De'Von Achane,TreVeyon Henderson,Tetairoa McMillan,Michael Pittman Jr.,Alec Pierce,Hunter Henry,RJ Harvey,Miami Dolphins,145.15,116.82,116.82,115.56,114.34,19.43,94.13,130.16,144.26,40,"123617-62239,123617-138820,123617-152647,123617-167620,123617-110484,123617-69213,123617-86312,123617-40845,123617-12539",60000,qb_anchor,Josh Allen,9,0,0,1.26,2.48,True,False,False
Sam Darnold,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,144.43,116.32,116.32,114.91,113.13,19.51,92.08,131.64,143.44,14,"123617-138820,123617-55050,123617-63589,123617-90573,123617-57403,123617-110484,123617-86312,123617-86080,123617-12548",60000,qb_anchor,Sam Darnold,9,0,0,1.41,3.19,True,False,False
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Michael Pittman Jr.,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,144.07,105.26,105.26,115.02,114.48,20.51,92.27,129.48,139.23,48,"123617-138820,123617-41535,123617-152647,123617-90573,123617-110484,123617-69213,123617-86312,123617-40845,123617-12548",59800,qb_anchor,Baker Mayfield,9,0,0,-9.76,-9.22,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Alec Pierce,Isaiah Hodgins,Hunter Henry,TreVeyon Henderson,Miami Dolphins,144.06,103.12,108.72,117.76,118.28,18.86,95.44,134.16,139.34,17,"123617-138820,123617-55050,123617-6654,123617-152647,123617-90573,123617-86312,123617-40845,123617-93055,123617-12539",59900,qb_anchor,Matthew Stafford,8,1,0,-9.04,-9.56,True,False,False
Daniel Jones,De'Von Achane,Christian McCaffrey,Courtland Sutton,Wan'Dale Robinson,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,143.93,128.34,128.34,113.44,110.64,19.94,90.98,128.42,140.65,24,"123617-138820,123617-55050,123617-63519,123617-57403,123617-103539,123617-110484,123617-86312,123617-40845,123617-12548",59800,qb_anchor,Daniel Jones,9,0,0,14.9,17.7,True,False,False
Daniel Jones,De'Von Achane,TreVeyon Henderson,Davante Adams,Wan'Dale Robinson,Troy Franklin,Hunter Henry,RJ Harvey,New Orleans Saints,143.76,114.44,114.44,113.48,112.4,20.72,91.0,127.88,137.84,22,"123617-138820,123617-45889,123617-152647,123617-63519,123617-103539,123617-110484,123617-151903,123617-40845,123617-12542",59800,qb_anchor,Daniel Jones,9,0,0,0.96,2.04,True,False,False
Daniel Jones,De'Von Achane,TreVeyon Henderson,Davante Adams,Jaylen Waddle,Alec Pierce,Harold Fannin Jr.,RJ Harvey,New Orleans Saints,143.73,126.24,126.24,113.88,112.5,19.9,91.41,130.0,140.28,23,"123617-138820,123617-45889,123617-152647,123617-63519,123617-90573,123617-110484,123617-86312,123617-172699,123617-12542",59700,qb_anchor,Daniel Jones,9,0,0,12.36,13.74,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Courtland Sutton,Quentin Johnston,Alec Pierce,Kyle Pitts Sr.,Kenneth Walker III,Los Angeles Chargers,143.57,127.14,127.14,114.74,111.0,19.5,91.82,132.31,141.92,39,"123617-138820,123617-55050,123617-102965,123617-103342,123617-57403,123617-120639,123617-86312,123617-86080,123617-12548",59600,qb_anchor,Bo Nix,9,0,0,12.4,16.14,True,False,False
Daniel Jones,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Quentin Johnston,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,143.56,122.04,122.04,114.57,111.4,19.15,93.06,131.01,142.06,20,"123617-138820,123617-55050,123617-63519,123617-90573,123617-110484,123617-120639,123617-86312,123617-40845,123617-12548",59800,qb_anchor,Daniel Jones,9,0,0,7.47,10.64,True,False,False
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Courtland Sutton,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,143.31,122.36,122.36,114.65,112.78,19.34,93.52,130.0,138.65,45,"123617-138820,123617-41535,123617-152647,123617-90573,123617-57403,123617-110484,123617-86312,123617-86080,123617-12548",59900,qb_anchor,Baker Mayfield,9,0,0,7.71,9.58,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Courtland Sutton,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,143.04,119.84,119.84,115.15,114.5,19.11,91.33,129.05,138.29,0,"123617-138820,123617-69189,123617-152647,123617-90573,123617-57403,123617-110484,123617-86312,123617-172699,123617-12548",60000,qb_anchor,Justin Herbert,9,0,0,4.69,5.34,True,False,False
Jaxson Dart,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,142.85,118.06,118.06,110.75,107.75,20.43,87.98,127.3,140.4,26,"123617-138820,123617-55050,123617-151966,123617-167620,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",59800,qb_anchor,Jaxson Dart,9,0,0,7.31,10.31,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Khalil Shakir,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,142.77,106.14,106.14,114.16,113.22,19.3,91.9,129.9,140.59,4,"123617-138820,123617-69189,123617-152647,123617-90573,123617-86518,123617-110484,123617-86312,123617-172699,123617-12548",59700,qb_anchor,Justin Herbert,9,0,0,-8.02,-7.08,True,False,False
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Stefon Diggs,Courtland Sutton,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,142.69,131.06,131.06,110.69,107.88,21.0,88.56,124.22,139.42,56,"123617-138820,123617-55050,123617-89951,123617-25079,123617-57403,123617-110484,123617-86312,123617-40845,123617-12548",60000,qb_anchor,Trevor Lawrence,9,0,0,20.37,23.18,True,False,False
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Quentin Johnston,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,142.67,119.24,119.24,111.44,108.33,20.27,88.43,130.66,140.36,53,"123617-138820,123617-55050,123617-30231,123617-90573,123617-110484,123617-151903,123617-120639,123617-86080,123617-12548",60000,qb_anchor,Jacoby Brissett,9,0,0,7.8,10.91,True,False,False
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Courtland Sutton,Hunter Henry,RJ Harvey,New Orleans Saints,142.62,126.46,126.46,110.25,108.05,21.16,87.07,126.86,138.37,59,"123617-138820,123617-55050,123617-89951,123617-90573,123617-167620,123617-57403,123617-110484,123617-40845,123617-12542",60000,qb_anchor,Trevor Lawrence,9,0,0,16.21,18.41,True,False,False
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Isaiah Hodgins,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,142.6,114.44,120.04,111.31,107.79,20.6,86.7,128.53,139.02,50,"123617-138820,123617-55050,123617-152647,123617-30231,123617-90573,123617-57403,123617-86080,123617-93055,123617-12539",60000,qb_anchor,Jacoby Brissett,8,1,0,8.73,12.25,True,False,False
Sam Darnold,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Courtland Sutton,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,141.74,111.02,111.02,113.7,110.87,18.37,93.15,127.6,140.08,12,"123617-138820,123617-152647,123617-63589,123617-90573,123617-57403,123617-110484,123617-86312,123617-86080,123617-12548",59100,qb_anchor,Sam Darnold,9,0,0,-2.68,0.15,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Courtland Sutton,Alec Pierce,Isaiah Hodgins,Harold Fannin Jr.,TreVeyon Henderson,Los Angeles Chargers,141.49,109.82,115.42,116.22,114.92,17.79,94.47,131.67,138.61,19,"123617-138820,123617-55050,123617-6654,123617-152647,123617-57403,123617-86312,123617-172699,123617-93055,123617-12548",60000,qb_anchor,Matthew Stafford,8,1,0,-0.8,0.5,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Alec Pierce,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,141.37,116.64,116.64,112.35,110.64,19.8,87.14,129.39,139.13,33,"123617-138820,123617-55050,123617-152647,123617-90573,123617-129471,123617-57403,123617-86312,123617-86080,123617-12539",60000,qb_anchor,C.J. Stroud,9,0,0,4.29,6.0,True,False,False
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Quentin Johnston,Jayden Higgins,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,141.33,118.54,118.54,110.44,108.38,20.19,87.38,125.07,139.71,54,"123617-138820,123617-55050,123617-152647,123617-30231,123617-90573,123617-120639,123617-147315,123617-86080,123617-12539",60000,qb_anchor,Jacoby Brissett,9,0,0,8.1,10.16,True,False,False
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,141.17,108.86,108.86,112.55,109.98,19.41,91.81,127.66,137.11,47,"123617-138820,123617-41535,123617-152647,123617-90573,123617-110484,123617-151903,123617-86312,123617-172699,123617-12548",59500,qb_anchor,Baker Mayfield,9,0,0,-3.69,-1.12,True,False,False
Baker Mayfield,De'Von Achane,Christian McCaffrey,Courtland Sutton,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,140.95,125.26,125.26,113.38,112.0,18.91,88.22,129.78,138.02,46,"123617-138820,123617-55050,123617-41535,123617-57403,123617-110484,123617-151903,123617-86312,123617-86080,123617-12548",60000,qb_anchor,Baker Mayfield,9,0,0,11.88,13.26,True,False,False
Sam Darnold,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Los Angeles Chargers,140.77,92.02,92.02,114.39,112.34,18.26,93.4,129.51,137.68,11,"123617-138820,123617-152647,123617-63589,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12548",60000,qb_anchor,Sam Darnold,9,0,0,-22.37,-20.32,False,False,True
Jacoby Brissett,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Quentin Johnston,Jayden Higgins,Hunter Henry,RJ Harvey,Denver Broncos,140.18,118.74,118.74,110.4,108.65,19.69,89.01,125.57,136.64,51,"123617-138820,123617-55050,123617-30231,123617-90573,123617-110484,123617-120639,123617-147315,123617-40845,123617-12531",60000,qb_anchor,Jacoby Brissett,9,0,0,8.34,10.09,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Davante Adams,Tetairoa McMillan,Alec Pierce,Zach Ertz,RJ Harvey,Tennessee Titans,140.12,134.04,134.04,112.69,110.09,18.21,90.72,128.6,137.66,2,"123617-138820,123617-69189,123617-45889,123617-152647,123617-167620,123617-110484,123617-86312,123617-29780,123617-12534",60000,qb_anchor,Justin Herbert,9,0,0,21.35,23.95,True,False,False
Sam Darnold,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,140.05,104.72,104.72,113.88,112.59,17.51,93.65,129.16,139.9,10,"123617-138820,123617-152647,123617-63589,123617-90573,123617-167620,123617-110484,123617-86312,123617-40845,123617-12548",59600,qb_anchor,Sam Darnold,9,0,0,-9.16,-7.87,True,False,False
Sam Darnold,De'Von Achane,Christian McCaffrey,Courtland Sutton,Alec Pierce,Cooper Kupp,Kyle Pitts Sr.,TreVeyon Henderson,Los Angeles Chargers,139.76,105.12,105.12,113.35,109.42,18.07,92.91,130.09,138.41,13,"123617-138820,123617-55050,123617-152647,123617-63589,123617-57403,123617-86312,123617-79970,123617-86080,123617-12548",59800,qb_anchor,Sam Darnold,9,0,0,-8.23,-4.3,True,False,False
Jaxson Dart,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Courtland Sutton,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,139.49,130.16,130.16,109.92,108.6,19.15,88.22,126.08,136.17,25,"123617-138820,123617-55050,123617-151966,123617-167620,123617-57403,123617-110484,123617-86312,123617-172699,123617-12548",59900,qb_anchor,Jaxson Dart,9,0,0,20.24,21.56,True,False,False
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Courtland Sutton,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,139.48,129.64,129.64,110.98,109.88,19.43,87.95,127.62,136.82,52,"123617-138820,123617-152647,123617-30231,123617-90573,123617-57403,123617-110484,123617-86312,123617-172699,123617-12548",59300,qb_anchor,Jacoby Brissett,9,0,0,18.66,19.76,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Davante Adams,Tetairoa McMillan,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Tennessee Titans,138.59,125.24,125.24,112.56,111.9,17.71,92.18,127.87,135.3,1,"123617-138820,123617-69189,123617-45889,123617-152647,123617-167620,123617-110484,123617-86312,123617-172699,123617-12534",59900,qb_anchor,Justin Herbert,9,0,0,12.68,13.34,True,False,False
C.J. Stroud,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Courtland Sutton,Quentin Johnston,Kyle Pitts Sr.,TreVeyon Henderson,Miami Dolphins,138.47,115.94,115.94,109.86,108.3,18.89,85.81,126.18,135.64,34,"123617-138820,123617-55050,123617-152647,123617-129471,123617-167620,123617-57403,123617-120639,123617-86080,123617-12539",60000,qb_anchor,C.J. Stroud,9,0,0,6.08,7.64,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Tetairoa McMillan,Courtland Sutton,Alec Pierce,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,138.28,125.14,125.14,112.75,112.9,17.66,91.88,127.15,134.56,3,"123617-138820,123617-69189,123617-152647,123617-167620,123617-57403,123617-110484,123617-86312,123617-172699,123617-12548",59800,qb_anchor,Justin Herbert,9,0,0,12.39,12.24,True,False,False
Baker Mayfield,De'Von Achane,Kenneth Walker III,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,138.27,114.86,114.86,111.93,111.2,18.45,90.05,125.04,134.99,49,"123617-138820,123617-41535,123617-90573,123617-103342,123617-167620,123617-110484,123617-86312,123617-40845,123617-12548",59600,qb_anchor,Baker Mayfield,9,0,0,2.93,3.66,True,False,False
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Courtland Sutton,Cooper Kupp,Hunter Henry,RJ Harvey,Los Angeles Chargers,138.22,125.86,125.86,107.82,105.23,19.86,86.49,122.7,134.6,57,"123617-138820,123617-55050,123617-89951,123617-167620,123617-57403,123617-110484,123617-79970,123617-40845,123617-12548",59500,qb_anchor,Trevor Lawrence,9,0,0,18.04,20.63,True,False,False
C.J. Stroud,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Courtland Sutton,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,138.15,108.94,108.94,110.2,108.09,18.92,88.96,125.65,135.01,30,"123617-138820,123617-152647,123617-90573,123617-129471,123617-167620,123617-57403,123617-110484,123617-86080,123617-12531",59800,qb_anchor,C.J. Stroud,9,0,0,-1.26,0.85,True,False,False
C.J. Stroud,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Courtland Sutton,Zach Ertz,RJ Harvey,Denver Broncos,137.77,115.84,115.84,109.6,107.06,19.55,89.34,126.19,133.33,32,"123617-138820,123617-152647,123617-90573,123617-129471,123617-167620,123617-57403,123617-110484,123617-29780,123617-12531",59900,qb_anchor,C.J. Stroud,9,0,0,6.24,8.78,True,False,False
Jaxson Dart,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Khalil Shakir,Harold Fannin Jr.,RJ Harvey,Los Angeles Chargers,137.64,100.86,100.86,110.71,109.14,18.9,87.87,127.11,133.46,27,"123617-138820,123617-152647,123617-151966,123617-90573,123617-167620,123617-86518,123617-110484,123617-172699,123617-12548",59900,qb_anchor,Jaxson Dart,9,0,0,-9.85,-8.28,True,False,False
Trevor Lawrence,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Courtland Sutton,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,137.17,124.56,124.56,110.03,109.32,19.0,86.85,125.81,134.93,55,"123617-138820,123617-152647,123617-89951,123617-90573,123617-167620,123617-57403,123617-110484,123617-86080,123617-12548",59900,qb_anchor,Trevor Lawrence,9,0,0,14.53,15.24,True,False,False
C.J. Stroud,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Courtland Sutton,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,137.13,112.94,112.94,110.14,108.23,18.59,86.5,127.46,134.47,31,"123617-138820,123617-152647,123617-90573,123617-129471,123617-167620,123617-57403,123617-110484,123617-86080,123617-12548",59500,qb_anchor,C.J. Stroud,9,0,0,2.8,4.71,True,False,False
Trevor Lawrence,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,137.07,123.26,123.26,109.63,108.0,19.07,88.01,124.74,133.73,58,"123617-138820,123617-152647,123617-89951,123617-90573,123617-167620,123617-110484,123617-86312,123617-40845,123617-12548",59400,qb_anchor,Trevor Lawrence,9,0,0,13.63,15.26,True,False,False
