QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,actual_only,actual_with_consensus,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Arizona Cardinals,87,"123617-138820,123617-55050,123617-152316,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12546",2,0.97,118.89999999999998,59900,124.51023048802692,121.50976992085948,92.16302444521656,161.13267510084012,27.53710692985107,0.1089606317326988,68.96965065562355,107.38000000000001,124.28,7,2,0,-0.23023048802691903,2.770230079140518,True,False,False
Matthew Stafford,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,19,"123617-138820,123617-6654,123617-152647,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.5,59900,125.7615122731478,122.53966004596008,93.40888623022452,162.37300267877544,27.458817834084492,0.1173339743413295,68.96411644855091,97.92,108.52,8,1,0,-17.241512273147805,-14.01966004596008,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,61,"123617-138820,123617-152316,123617-152647,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",2,0.71,119.1,60000,125.81674870449528,122.54304405354848,93.0911103124235,162.04692108141862,27.82815783096909,0.117640005882948,68.95581076899512,118.58000000000001,118.58000000000001,9,0,0,-7.23674870449527,-3.9630440535484723,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Davante Adams,Tetairoa McMillan,Tre Tucker,Hunter Henry,RJ Harvey,Tennessee Titans,child_860587,"123617-138820,123617-152647,123617-110484,123617-12534,123617-45889,123617-167620,123617-103619,123617-40845,123617-152316",3,1.6958398448183658,117.89999999999998,60000,122.3366312027626,118.81472621631318,90.45923615378004,159.40431122663205,27.63646403523992,0.1274368885237475,68.945075072852,112.58,126.47999999999999,7,2,0,4.143368797237386,7.665273783686814,True,False,False
Josh Allen,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,Tyjae Spears,Miami Dolphins,child_650349,"123617-138820,123617-55050,123617-107293,123617-12539,123617-167620,123617-103539,123617-151903,123617-86080,123617-62239",1,0.0,120.1,59600,122.49470925710249,119.18444087550048,90.05168477751488,158.99297335563722,28.388237890946424,0.1166070396591156,68.94128857812234,101.32000000000001,111.92,8,1,0,-10.574709257102484,-7.264440875500483,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Hunter Henry,RJ Harvey,New Orleans Saints,41,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-40845,123617-12542",2,0.51,119.29999999999998,60000,125.71428450273928,122.22867337898114,93.08060757712512,161.99257771455777,28.11635667556018,0.1239709384817969,68.91197013743265,117.44000000000001,117.44000000000001,9,0,0,-8.274284502739263,-4.78867337898113,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,mutated_206374,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-103539,123617-103619,123617-86080,123617-152316",1,0.0,120.59999999999998,59000,123.11218567909413,119.76101519382016,90.76756097835778,159.60963701684557,27.91294689426485,0.1200579250183901,68.84207603848779,102.08,115.97999999999999,7,2,0,-7.132185679094135,-3.781015193820167,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,TreVeyon Henderson,Tennessee Titans,70,"123617-138820,123617-55050,123617-152647,123617-102965,123617-167620,123617-103539,123617-151903,123617-86080,123617-12534",2,0.8,119.0,59900,125.03019224262935,122.10003367525718,93.09188678725396,161.9328075798758,27.378777656434117,0.1070229870793218,68.84092079262184,97.74000000000001,114.14,7,2,0,-10.890192242629354,-7.960033675257179,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Wan'Dale Robinson,Kyle Pitts Sr.,Kenneth Gainwell,Tennessee Titans,mutated_598567,"123617-138820,123617-55050,123617-90912,123617-12534,123617-90573,123617-86518,123617-103539,123617-86080,123617-152316",2,0.3,119.5,59600,120.76772676238215,117.3068973178903,88.87792369576394,157.68399542356445,27.684735830075773,0.1250085774967783,68.80607172780051,87.88,103.88,7,2,0,-16.887726762382158,-13.426897317890308,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,TreVeyon Henderson,Tennessee Titans,69,"123617-138820,123617-55050,123617-6654,123617-152647,123617-103539,123617-86518,123617-151903,123617-86080,123617-12534",2,0.79,119.0,60000,123.90589223013473,120.5855991124476,91.38389996833232,160.15081091797578,27.95053534781488,0.1187917539456606,68.76691094964346,80.11999999999999,106.71999999999998,6,3,0,-17.18589223013474,-13.865599112447612,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,29,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-86312,123617-86080,123617-12539",2,0.39,119.4,59900,125.76486671305746,122.6120383805169,93.16987296826166,161.8913835242001,27.677715041991448,0.1139121610204171,68.72151055593845,128.88,128.88,9,0,0,3.1151332869425374,6.2679616194830885,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Khalil Shakir,Tyler Warren,RJ Harvey,Tennessee Titans,108,"123617-138820,123617-55050,123617-102965,123617-90573,123617-103539,123617-137530,123617-86518,123617-110484,123617-12534",3,2.8008914810967,118.2,60000,124.017416365602,120.7751861920627,91.63803885076476,160.35330648590278,27.364916843680383,0.1184812726477571,68.71526763513802,100.04,116.04,7,2,0,-7.9774163656019965,-4.735186192062699,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,New Orleans Saints,child_779730,"123617-138820,123617-152647,123617-110484,123617-12542,123617-90573,123617-167620,123617-103539,123617-86080,123617-152316",2,0.51,119.29999999999998,59700,123.95099840774014,120.01358467493225,92.18330416946334,160.83268560505047,28.13764817826128,0.1399340025812782,68.64938143558713,114.58000000000001,114.58000000000001,9,0,0,-9.370998407740132,-5.433584674932234,True,False,False
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,child_883677,"123617-138820,123617-55050,123617-110484,123617-12548,123617-90573,123617-86518,123617-86312,123617-86080,123617-151966",3,2.8773112406588597,117.6,59800,125.5528660041794,121.8231894476728,93.53342591226388,162.1633120531793,28.42608992965141,0.1312061055789506,68.62988614091543,112.06,122.26,8,1,0,-3.292866004179402,0.4368105523272021,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,39,"123617-138820,123617-55050,123617-152316,123617-167620,123617-86518,123617-110484,123617-151903,123617-86080,123617-12539",2,0.49,119.29999999999998,60000,124.7140294323418,120.76568777965812,92.74079963409264,161.36880485692168,27.85685235112686,0.1417368194696255,68.62800522282905,111.48,132.28,7,2,0,7.565970567658198,11.514312220341878,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Khalil Shakir,Hunter Henry,Tyjae Spears,Los Angeles Chargers,118,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-86518,123617-40845,123617-107293,123617-12548",3,1.8106551900138323,118.0,59900,123.77669779742584,120.32398403623776,91.40846642254309,159.97477634217253,27.708585370908153,0.1246080850021731,68.56630991962945,93.38,103.58,8,1,0,-20.19669779742584,-16.743984036237762,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,TreVeyon Henderson,Tennessee Titans,13,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-86518,123617-151903,123617-86080,123617-12534",1,0.0,119.7,60000,124.85398375627292,121.48171466914098,92.72409366249816,161.27106197948288,27.833481392412327,0.1211587238975875,68.54696831698472,85.53999999999999,112.13999999999999,6,3,0,-12.713983756272938,-9.341714669140998,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Courtland Sutton,Troy Franklin,Hunter Henry,RJ Harvey,New York Giants,109,"123617-138820,123617-55050,123617-152316,123617-167620,123617-57403,123617-110484,123617-151903,123617-40845,123617-12543",3,2.8117740914609253,118.19999999999996,60000,124.04116223990162,120.302894214635,92.38089376201822,160.910285345403,28.074979640300196,0.1331530093044321,68.52939158338478,112.78,128.88,7,2,0,4.838837760098372,8.577105785364992,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,child_270993,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-167620,123617-151903,123617-86080,123617-6654",1,0.0,120.59999999999998,59700,124.91563534139377,121.42636037523226,93.1351789863748,161.61682569920504,27.67609760646549,0.1260753960249931,68.48164671283023,99.12,115.52,7,2,0,-9.39563534139377,-5.906360375232268,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,Tyjae Spears,Los Angeles Chargers,86,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-151903,123617-40845,123617-107293,123617-12548",2,0.96,118.9,59900,123.88513585365922,120.20869490874256,92.1584889047762,160.60668056845378,27.51351020050238,0.1336231152668233,68.44819166367758,90.42,101.02,8,1,0,-22.865135853659226,-19.188694908742562,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,Tyjae Spears,Miami Dolphins,child_126542,"123617-138820,123617-55050,123617-107293,123617-12539,123617-90573,123617-167620,123617-103539,123617-86080,123617-152316",1,0.0,120.1,59300,122.64794909450649,118.77350659867298,90.90234299056232,159.27814506779112,27.549537297751733,0.1406354834187974,68.3758020772288,109.58000000000001,109.58000000000001,9,0,0,-13.067949094506474,-9.193506598672968,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Arizona Cardinals,26,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12546",2,0.36,119.39999999999998,59900,124.44362050228185,120.63246517418776,92.90960661658016,161.2830896562606,27.722014089997167,0.1374775770519949,68.37348303968042,103.54,120.44,7,2,0,-4.003620502281848,-0.19246517418775966,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Tyjae Spears,Los Angeles Chargers,46,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-151903,123617-86080,123617-107293,123617-12548",2,0.56,119.1,59900,123.84098793050109,120.57956507610292,91.18951280903276,159.5509307960718,27.78127716689192,0.1173964333894968,68.36141798703905,99.68,110.28,8,1,0,-13.560987930501085,-10.299565076102922,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,child_534504,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-103539,123617-151903,123617-86080,123617-152316",2,0.6799999999999999,119.09999999999998,59600,125.29320514428802,121.81736210807574,93.07709161511772,161.37685443869577,28.532612868208233,0.1218200047877548,68.29976282357805,102.08,118.47999999999999,7,2,0,-6.813205144288034,-3.3373621080757516,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,TreVeyon Henderson,Tennessee Titans,child_828166,"123617-138820,123617-55050,123617-152647,123617-12534,123617-90573,123617-103539,123617-86312,123617-86080,123617-102965",3,2.8773112406588597,117.6,59700,124.49907265047064,120.44179481139211,92.64157852423702,160.9320812386736,27.83960553925528,0.145737619498867,68.29050271443657,108.24,114.03999999999999,8,1,0,-10.459072650470645,-6.401794811392122,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,10,"123617-138820,123617-55050,123617-102965,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.79999999999998,60000,126.49472279141838,123.31905835286884,94.32643134999554,162.61520217729594,27.64102266715414,0.1148895421414053,68.2887708273004,115.34000000000002,125.94000000000001,8,1,0,-0.5547227914183708,2.6209416471311755,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Las Vegas Raiders,5,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12537",1,0.0,120.0,59900,124.31612737684824,120.61647503858734,92.83334258765122,161.04689262357212,27.44056885934695,0.1348241852136638,68.2135500359209,103.12,113.72,8,1,0,-10.596127376848244,-6.89647503858734,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,15,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",1,0.0,119.59999999999998,59900,125.13967809715108,121.58081434388843,93.44479725729984,161.6525162511722,27.05085560852994,0.1315619662743838,68.20771899387235,116.54,127.14,8,1,0,2.000321902848924,5.559185656111566,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Brenton Strange,RJ Harvey,New York Giants,91,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-103587,123617-12543",2,1.01,118.9,60000,124.47561456291083,120.60040742506216,92.8465775795592,160.97086547932582,28.03106076234746,0.1382468958525473,68.12428789976663,106.32000000000001,111.82000000000001,8,1,0,-12.655614562910827,-8.780407425062151,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,child_692612,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-167620,123617-103539,123617-86080,123617-102965",2,0.3,119.5,59300,125.62241390608966,122.55349196960518,93.07820846480716,161.2003534419716,28.17141138329716,0.1089374577201357,68.12214497716445,112.84000000000002,118.64000000000001,8,1,0,-6.982413906089647,-3.913491969605161,True,False,False
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Khalil Shakir,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,child_108198,"123617-138820,123617-152647,123617-110484,123617-12548,123617-90573,123617-86518,123617-86312,123617-86080,123617-152316",3,2.424265384939839,118.2,59700,123.3139755223713,119.82825874782084,91.25373038169327,159.37049147632092,27.654245740126253,0.1260463513381129,68.11676109462763,113.68,123.88,8,1,0,0.5660244776287016,4.051741252179156,True,False,False
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,TreVeyon Henderson,Tennessee Titans,81,"123617-138820,123617-55050,123617-152647,123617-89951,123617-90573,123617-103539,123617-151903,123617-86080,123617-12534",2,0.91,118.9,59900,123.58459507863518,120.29603253533524,91.60410266844066,159.64172744896123,27.544683435587817,0.1193901012146363,68.03762478052057,93.66000000000001,110.06,7,2,0,-13.524595078635173,-10.23603253533524,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Hunter Henry,RJ Harvey,Las Vegas Raiders,36,"123617-138820,123617-55050,123617-152316,123617-90573,123617-86518,123617-110484,123617-151903,123617-40845,123617-12537",2,0.46,119.29999999999998,60000,124.18735883065172,121.38612558121096,91.58828453471637,159.5989865125252,27.63414674240198,0.1013685450668372,68.01070197780882,96.78,117.57999999999998,7,2,0,-6.607358830651734,-3.8061255812109778,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Courtland Sutton,Kyle Pitts Sr.,RJ Harvey,Arizona Cardinals,72,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-57403,123617-110484,123617-86080,123617-12546",2,0.8200000000000001,119.0,60000,123.93351936161436,120.1931199971326,92.54604887755949,160.51517935294575,27.349265452885646,0.1367641617624179,67.96913047538627,120.64000000000001,126.94000000000001,8,1,0,3.0064806383856535,6.746880002867414,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Cleveland Browns,43,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12529",2,0.53,119.2,60000,124.77207501814962,121.682216552987,92.73878399452607,160.707700440709,27.618011457156417,0.1118783830601228,67.96891644618293,105.94000000000001,122.94000000000001,7,2,0,-1.8320750181496095,1.2577834470130114,True,False,False
Josh Allen,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,child_360144,"123617-138820,123617-55050,123617-110484,123617-12534,123617-103539,123617-151903,123617-86312,123617-86080,123617-62239",3,2.547721682791299,118.1,59500,122.69057193448702,119.42339943806068,90.80559051820212,158.77167046852762,27.8228973840493,0.1174274717448875,67.96607995032551,109.62,126.02,7,2,0,3.329428065512971,6.5966005619393115,True,False,False
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Hunter Henry,RJ Harvey,Tennessee Titans,6,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12534",1,0.0,119.89999999999998,59900,124.79129877513108,121.64716810115956,93.0003376043168,160.92343548770594,27.177279900463123,0.1156896748124501,67.92309788338915,99.67999999999999,116.07999999999998,7,2,0,-8.711298775131098,-5.567168101159581,True,False,False
