QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,61,"123617-138820,123617-152316,123617-152647,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",2,0.71,119.1,60000,125.60363141470658,121.52344465184004,93.39031907397685,162.7962415534869,28.42918150776618,0.14352107751508553
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Quentin Johnston,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,73,"123617-138820,123617-55050,123617-6654,123617-90573,123617-110484,123617-120639,123617-86312,123617-86080,123617-12548",2,0.8300000000000001,119.0,60000,124.71519207803328,121.50488422816517,93.51008147876139,158.80559521620398,26.79160190217201,0.11982515497170977
Matthew Stafford,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Khalil Shakir,Troy Franklin,Hunter Henry,RJ Harvey,Miami Dolphins,55,"123617-138820,123617-55050,123617-6654,123617-167620,123617-86518,123617-110484,123617-151903,123617-40845,123617-12539",2,0.65,119.09999999999998,60000,124.97511894884705,121.4981254762844,93.39072537140083,160.9836313038159,27.171741915600904,0.12796358376149253
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Las Vegas Raiders,5,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12537",1,0.0,120.0,59900,124.7076125762376,121.47733441654816,92.6705814163909,160.8687630646231,27.60124603567296,0.11703378012407455
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Hunter Henry,RJ Harvey,New Orleans Saints,41,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-40845,123617-12542",2,0.51,119.29999999999998,60000,124.89758981929454,121.44748430783093,93.21045540972676,160.43646897171777,27.153582847866453,0.12705894212169097
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Miami Dolphins,17,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12539",1,0.0,119.59999999999998,60000,124.83755271369894,121.42623208605724,92.87980815053695,159.84286750516324,27.303054700015807,0.12494281922380375
Bo Nix,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Los Angeles Chargers,32,"123617-138820,123617-152647,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12548",2,0.42,119.29999999999998,60000,124.56648962550452,121.41916168033849,93.38393983740082,159.61740643036907,26.88263767580658,0.11707660472612438
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,New Orleans Saints,9,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12542",1,0.0,119.89999999999998,60000,124.76858317664498,121.40485409344797,92.33127913956689,162.05830744448636,27.934924923126697,0.12041303466730491
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Atlanta Falcons,22,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-86312,123617-86080,123617-12525",2,0.32,119.5,60000,124.39705731141431,121.33683058752183,92.34062571884934,161.30822067483143,27.41221133528284,0.11163735338467937
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Cleveland Browns,43,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12529",2,0.53,119.2,60000,124.54992873900824,121.314623135511,92.17295472180686,160.47575315648126,27.54862151802288,0.11743983637731689
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,TreVeyon Henderson,Tennessee Titans,13,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-86518,123617-151903,123617-86080,123617-12534",1,0.0,119.7,60000,124.38221304235913,121.30281449030176,92.66796766141532,159.47810420331675,27.674584230477468,0.11127171871532905
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,39,"123617-138820,123617-55050,123617-152316,123617-167620,123617-86518,123617-110484,123617-151903,123617-86080,123617-12539",2,0.49,119.29999999999998,60000,125.0993372799321,121.27413267920048,92.55273187432024,162.09672077503714,28.158149905133445,0.13584715663560906
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Brenton Strange,RJ Harvey,Miami Dolphins,74,"123617-138820,123617-55050,123617-6654,123617-90573,123617-86518,123617-110484,123617-151903,123617-103587,123617-12539",2,0.8400000000000001,119.0,59900,124.34248858474074,121.27279773778542,91.8606147135499,160.31579241810104,27.28585418420219,0.1125011819762851
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Courtland Sutton,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,20,"123617-138820,123617-55050,123617-152316,123617-90573,123617-57403,123617-103539,123617-110484,123617-86080,123617-12534",2,0.3,119.5,60000,124.78284564223266,121.27273034933513,92.35467781373472,161.9167919167402,28.26589453186913,0.12418199922666348
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Stefon Diggs,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,80,"123617-138820,123617-55050,123617-102965,123617-90573,123617-25079,123617-110484,123617-151903,123617-86080,123617-12539",2,0.9000000000000001,119.0,59900,124.11754096697706,121.21829451307877,92.80279796458366,159.33848610931423,26.955227201663195,0.10755785630029474
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Hunter Henry,RJ Harvey,Tennessee Titans,6,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12534",1,0.0,119.89999999999998,59900,125.01318889473076,121.21150155734213,92.48660501802425,162.42994534639607,27.836355938216965,0.13657273767538058
Matthew Stafford,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,92,"123617-138820,123617-55050,123617-6654,123617-103539,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",2,1.02,118.89999999999998,59900,124.61061005027189,121.20959544834831,93.27712342374976,160.34363053397715,26.90661214423313,0.12640069971248738
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Hunter Henry,RJ Harvey,New Orleans Saints,63,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-86312,123617-40845,123617-12542",2,0.73,119.09999999999998,60000,123.83610551322796,121.1378199374101,92.15325265556639,158.77546179785506,26.758861682833142,0.10083708372202241
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Rams,175,"123617-138820,123617-152647,123617-30231,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12538",3,2.496969089238937,117.6,60000,124.02661674790515,121.13301963173603,92.44391113073789,160.20256226525464,26.789220513769457,0.1080134867933851
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Miami Dolphins,78,"123617-138820,123617-55050,123617-89951,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12539",2,0.8799999999999999,119.0,59900,124.48018229978935,121.12733034656799,92.92963430000228,160.26545285933904,27.05345855185191,0.12393431866743136
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Tre Tucker,Hunter Henry,RJ Harvey,Los Angeles Chargers,195,"123617-138820,123617-55050,123617-151966,123617-90573,123617-86518,123617-110484,123617-103619,123617-40845,123617-12548",3,1.9747525761426652,117.6,59900,124.4295162335056,121.12328960697022,93.16612465781866,159.0939153410382,27.232811114179082,0.12140599854614169
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Brenton Strange,RJ Harvey,Miami Dolphins,76,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-103587,123617-12539",2,0.8599999999999999,119.0,59800,124.24947471849643,121.11921564391633,92.14116027143184,159.4914219266717,27.233082299138395,0.1149432532166633
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Khalil Shakir,Kyle Pitts Sr.,RJ Harvey,Las Vegas Raiders,50,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-86518,123617-110484,123617-86080,123617-12537",2,0.6000000000000001,119.1,59900,124.6799478927264,121.06441427872025,92.4971976310287,160.4920942307188,27.510167225335156,0.13142535937318736
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Brenton Strange,RJ Harvey,New York Giants,91,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-103539,123617-110484,123617-103587,123617-12543",2,1.01,118.9,60000,124.42517194754062,121.05792670433411,91.68191506988079,161.01665830920257,27.90293435963521,0.1206771015480586
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Khalil Shakir,Hunter Henry,RJ Harvey,Las Vegas Raiders,98,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-86518,123617-110484,123617-40845,123617-12537",2,1.08,118.9,59900,124.0864926625515,121.0550259577746,91.76081967355145,160.67929726707112,27.461814392203586,0.11038843469998608
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Hunter Henry,RJ Harvey,Tennessee Titans,34,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-40845,123617-12534",2,0.4399999999999999,119.29999999999998,59900,124.65952524626502,121.02893388956531,92.61555006319303,160.64986967291176,28.22262074723074,0.12864118429029847
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Alec Pierce,Hunter Henry,RJ Harvey,Miami Dolphins,44,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-86312,123617-40845,123617-12539",2,0.54,119.2,59900,124.40396350370261,121.02883582744789,92.11801305925488,159.82091554099313,27.466255668304754,0.12288270075886311
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Hunter Henry,RJ Harvey,Arizona Cardinals,26,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12546",2,0.36,119.39999999999998,59900,124.63229071966002,120.98769578937521,93.47241094698862,159.97640361894796,27.57142875051651,0.1321873800325467
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Tre Tucker,Hunter Henry,RJ Harvey,Miami Dolphins,198,"123617-138820,123617-55050,123617-152316,123617-167620,123617-103539,123617-110484,123617-103619,123617-40845,123617-12539",3,1.7994388735979494,117.59999999999998,59800,123.95836358743561,120.98528406689147,91.86128470134649,159.89132142682456,27.275897718962174,0.1090002445080759
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,Los Angeles Rams,150,"123617-138820,123617-55050,123617-151966,123617-90573,123617-86518,123617-110484,123617-86312,123617-86080,123617-12538",3,2.982423360185286,117.7,59900,123.98402499816439,120.89747535193933,92.08257988500439,159.95823366307164,27.278101072688248,0.11315119179301704
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Atlanta Falcons,40,"123617-138820,123617-55050,123617-6654,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12525",2,0.5,119.29999999999998,60000,124.27203246589994,120.87962333431912,92.27284884159013,160.83702057326246,28.008251843668813,0.12112177334436759
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Tyjae Spears,Los Angeles Chargers,46,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-151903,123617-86080,123617-107293,123617-12548",2,0.56,119.1,59900,124.91746568978674,120.86098428569781,92.73717100798639,160.92230193543273,28.533676990142833,0.14216469211066868
